name,price,type,color,psu,side_panel,external_volume,internal_35_bays,form_factor_family,has_builtin_psu,estimated_max_gpu_length,is_estimated_gpu_clearance
Montech XR,83.59,ATX Mid Tower,Black,0.0,Tempered Glass,45.0,2,ATX,True,350,True
Phanteks XT PRO,67.98,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,2,ATX,True,350,True
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.0,1,ATX,True,350,True
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,0.0,Tempered Glass,55.9,2,ATX,True,350,True
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,0.0,Acrylic,33.6,1,MicroATX,True,300,True
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,48.6,2,ATX,True,350,True
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,0.0,Tempered Glass,45.5,2,ATX,True,350,True
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,0.0,Tempered Glass,57.4,2,ATX,True,350,True
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,0.0,Tempered Glass,55.9,2,ATX,True,350,True
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,0.0,Tempered Glass,36.1,2,MicroATX,True,330,True
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,0.0,Tempered Glass,54.2,2,ATX,True,350,True
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,0.0,Mesh,26.3,1,MicroATX,True,300,True
Fractal Design North,139.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.1,2,ATX,True,350,True
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Fractal Design North XL,179.99,ATX Full Tower,Black,0.0,Tinted Tempered Glass,61.4,2,ATX,True,400,True
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,Black,0.0,Tempered Glass,57.4,2,ATX,True,350,True
NZXT H5 Flow (2024),59.99,ATX Mid Tower,White,0.0,Tempered Glass,45.0,1,ATX,True,350,True
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,0.0,Mesh,26.3,1,MicroATX,True,300,True
Phanteks XT PRO ULTRA,80.98,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,2,ATX,True,350,True
NZXT H9 Flow (2023),99.99,ATX Mid Tower,White,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Montech XR,79.89,ATX Mid Tower,White,0.0,Tempered Glass,45.0,2,ATX,True,350,True
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,Black,0.0,Tempered Glass,65.3,4,ATX,True,350,True
NZXT H6 Flow,109.97,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Montech AIR 903 BASE,64.98,ATX Mid Tower,Black,0.0,Tempered Glass,54.2,2,ATX,True,350,True
HYTE Y70 Touch Infinite,564.4,ATX Mid Tower,Black,0.0,Tempered Glass,70.7,2,ATX,True,350,True
NZXT H6 Flow,89.97,ATX Mid Tower,White,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Corsair FRAME 4000D RS ARGB,104.99,ATX Mid Tower,Black,0.0,Tempered Glass,56.7,2,ATX,True,350,True
NZXT H3 Flow,69.98,MicroATX Mid Tower,Black,0.0,Tinted Tempered Glass,35.0,1,MicroATX,True,330,True
Fractal Design Terra,179.99,Mini ITX Desktop,Black / Brown,0.0,Mesh,11.4,0,Mini ITX,True,280,True
Antec C5 ARGB,114.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,1,ATX,True,350,True
Fractal Design Pop XL Air,119.97,ATX Full Tower,Black,0.0,Tempered Glass,62.4,3,ATX,True,400,True
Lian Li LANCOOL 217,127.5,ATX Mid Tower,Black / Brown,0.0,Tempered Glass,57.7,1,ATX,True,350,True
Lian Li O11 Dynamic EVO XL,254.98,ATX Full Tower,Black,0.0,Tempered Glass,84.4,4,ATX,True,400,True
Montech KING 95 PRO,148.98,ATX Mid Tower,Black,0.0,Tempered Glass,63.0,5,ATX,True,350,True
Fractal Design Meshify C,109.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,40.6,2,ATX,True,350,True
Cooler Master MasterBox NR200,67.29,Mini ITX Desktop,Black,0.0,Unknown,20.3,2,Mini ITX,True,280,True
Okinos Aqua 3,64.98,MicroATX Mini Tower,Black,0.0,Tempered Glass,28.8,2,MicroATX,True,300,True
Lian Li LANCOOL 216 RGB,102.97,ATX Mid Tower,Black,0.0,Tempered Glass,55.6,2,ATX,True,350,True
HYTE Y70,219.99,ATX Mid Tower,White,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,0.0,Tempered Glass,46.2,2,ATX,True,350,True
NZXT H7 Flow (2024),129.99,ATX Mid Tower,Black,0.0,Tempered Glass,62.1,2,ATX,True,350,True
MUSETEX Y6,85.48,ATX Mid Tower,White,0.0,Tempered Glass,40.9,2,ATX,True,350,True
Corsair 3000D AIRFLOW,94.99,ATX Mid Tower,Black,0.0,Tempered Glass,49.5,2,ATX,True,350,True
Lian Li O11 Vision,142.99,ATX Mid Tower,Black,0.0,Tempered Glass,67.8,2,ATX,True,350,True
Fractal Design North,139.99,ATX Mid Tower,Black,0.0,Mesh,45.1,2,ATX,True,350,True
HYTE Y70,219.99,ATX Mid Tower,Black,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,White,0.0,Tempered Glass,65.3,4,ATX,True,350,True
Montech X3 Mesh,54.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Cooler Master Elite 301 Lite,64.94,MicroATX Mini Tower,Black,0.0,Tempered Glass,34.1,1,MicroATX,True,300,True
Fractal Design Terra,179.99,Mini ITX Desktop,Green / Brown,0.0,Mesh,11.4,0,Mini ITX,True,280,True
Corsair FRAME 4000D,104.99,ATX Mid Tower,Black,0.0,Tempered Glass,56.7,2,ATX,True,350,True
NZXT H6 Flow RGB,129.97,ATX Mid Tower,White,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Asus Prime AP201,89.97,MicroATX Mini Tower,Black,0.0,Mesh,33.0,3,MicroATX,True,300,True
Montech XR Wood,79.9,ATX Mid Tower,Black / Brown,0.0,Tempered Glass,49.8,2,ATX,True,350,True
Deepcool CH160,,Mini ITX Desktop,Black,0.0,Tempered Glass,19.1,1,Mini ITX,True,280,True
Montech X5M,56.0,MicroATX Mini Tower,Black,0.0,Tempered Glass,45.3,2,MicroATX,True,300,True
Lian Li A3-mATX,89.99,MicroATX Mini Tower,White / Brown,0.0,Tempered Glass,26.3,1,MicroATX,True,300,True
Antec C8,99.99,ATX Full Tower,Black,0.0,Tempered Glass,66.9,2,ATX,True,400,True
Thermaltake Versa H18,118.5,MicroATX Mini Tower,Black,0.0,Acrylic,30.4,2,MicroATX,True,300,True
Silverstone ALTA F2,1062.27,ATX Full Tower,Black,0.0,Tempered Glass,98.9,8,ATX,True,400,True
NZXT H6 Flow RGB,134.97,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Corsair 5000D AIRFLOW,174.99,ATX Mid Tower,Black,0.0,Tempered Glass,66.2,2,ATX,True,350,True
Fractal Design Ridge PCIe 4.0,129.99,Mini ITX Tower,Black,0.0,Mesh,16.3,0,Mini ITX,True,320,True
Corsair 3500X,99.99,ATX Mid Tower,Black,0.0,Tempered Glass,55.9,2,ATX,True,350,True
NZXT H9 Elite,169.97,ATX Mid Tower,White,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Zalman T3 PLUS,39.5,MicroATX Mid Tower,Black,0.0,Tempered Glass,30.9,1,MicroATX,True,330,True
Antec FLUX PRO,164.99,ATX Full Tower,Black / Brown,0.0,Tempered Glass,70.8,4,ATX,True,400,True
Cooler Master Elite 301,49.99,MicroATX Mid Tower,Black,0.0,Tempered Glass,34.1,1,MicroATX,True,330,True
Lian Li O11 Dynamic EVO XL,249.99,ATX Full Tower,White,0.0,Tempered Glass,84.4,4,ATX,True,400,True
Jonsbo Jonsplus Z20,99.0,MicroATX Desktop,Black,0.0,Tempered Glass,25.3,1,MicroATX,True,280,True
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,Black,0.0,Tempered Glass,36.5,2,MicroATX,True,330,True
Azza Fighter,59.99,ATX Mid Tower,Black,0.0,Tempered Glass,34.2,2,ATX,True,350,True
Fractal Design North XL,194.97,ATX Full Tower,Black,0.0,Mesh,61.4,2,ATX,True,400,True
Corsair 4000D Airflow,103.59,ATX Mid Tower,White,0.0,Tinted Tempered Glass,48.6,2,ATX,True,350,True
MSI MAG FORGE 321R AIRFLOW,89.99,ATX Mid Tower,Black,0.0,Tempered Glass,49.4,2,ATX,True,350,True
Jonsbo D32 PRO,71.99,MicroATX Desktop,Black,0.0,Tempered Glass,25.7,2,MicroATX,True,280,True
