name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb,ram_type_enc,price_is_predicted
Corsair Vengeance RGB 32 GB,94.99,"5,6000","2,16",2.9684375,Black,12.0,36.0,DDR5,6000,2,16,32,4,False
G.Skill Flare X5 32 GB,89.99,"5,6000","2,16",2.8121875,Black,12.0,36.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance LPX 16 GB,45.99,"4,3200","2,8",2.874375,Black / Yellow,10.0,16.0,DDR4,3200,2,8,16,3,False
Corsair Vengeance 32 GB,129.99,"5,6000","2,16",4.0621875,Black / Gray,10.0,30.0,DDR5,6000,2,16,32,4,False
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",3.0934375,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance LPX 32 GB,77.98,"4,3600","2,16",2.436875,Black / Yellow,10.0,18.0,DDR4,3600,2,16,32,3,False
Crucial Pro Overclocking 32 GB,84.99,"5,6000","2,16",2.6559375,Black,12.0,36.0,DDR5,6000,2,16,32,4,False
G.Skill Trident Z5 RGB 64 GB,234.99,"5,6400","2,32",3.67171875,Black / Silver,10.0,32.0,DDR5,6400,2,32,64,4,False
Corsair Vengeance RGB 64 GB,229.99,"5,6000","2,32",3.59359375,Black,10.0,30.0,DDR5,6000,2,32,64,4,False
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",3.3121875,White,10.0,30.0,DDR5,6000,2,16,32,4,False
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6000","2,16",3.7496875,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Patriot Viper Venom 32 GB,85.99,"5,6000","2,16",2.6871875,Black / White,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance RGB Pro 32 GB,115.0,"4,3600","2,16",3.59375,Black,10.0,18.0,DDR4,3600,2,16,32,3,False
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",3.3121875,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance RGB 32 GB,95.99,"5,6000","2,16",2.9996875,White / Silver,12.0,36.0,DDR5,6000,2,16,32,4,False
Silicon Power GAMING 16 GB,32.97,"4,3200","2,8",2.060625,Black / Gray,10.0,16.0,DDR4,3200,2,8,16,3,False
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.436875,Black,10.0,16.0,DDR4,3200,2,8,16,3,False
Corsair Vengeance LPX 32 GB,71.98,"4,3200","2,16",2.249375,Black / Yellow,10.0,16.0,DDR4,3200,2,16,32,3,False
Kingston FURY Beast 32 GB,122.99,"5,6000","2,16",3.8434375,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"5,6000","2,32",3.24984375,Black / Silver,10.0,30.0,DDR5,6000,2,32,64,4,False
G.Skill Ripjaws V 32 GB,71.98,"4,3200","2,16",2.249375,Black,10.0,16.0,DDR4,3200,2,16,32,3,False
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",3.0934375,White,10.0,30.0,DDR5,6000,2,16,32,4,False
G.Skill Flare X5 32 GB,109.99,"5,6000","2,16",3.4371875,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Kingston FURY Beast 16 GB,62.93,"5,5200","2,8",3.933125,Black,15.385,40.0,DDR5,5200,2,8,16,4,False
Corsair Vengeance RGB Pro 16 GB,54.99,"4,3200","2,8",3.436875,Black,10.0,16.0,DDR4,3200,2,8,16,3,False
Silicon Power Value Gaming 32 GB,90.97,"5,6000","2,16",2.8428125,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance 64 GB,156.28,"5,5200","2,32",2.441875,Black,15.385,40.0,DDR5,5200,2,32,64,4,False
G.Skill Flare X5 64 GB,193.98,"5,6000","2,32",3.0309375,Black,10.0,30.0,DDR5,6000,2,32,64,4,False
TEAMGROUP T-Force Vulcan 32 GB,96.99,"5,6000","2,16",3.0309375,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Silicon Power GAMING 32 GB,60.99,"4,3200","2,16",1.9059375,Black,10.0,16.0,DDR4,3200,2,16,32,3,False
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.9059375,Gray,10.0,30.0,DDR5,6000,2,16,32,4,False
Patriot Viper Venom 32 GB,76.99,"5,6000","2,16",2.4059375,Black / White,12.0,36.0,DDR5,6000,2,16,32,4,False
Corsair Dominator Titanium 64 GB,286.44,"5,6600","2,32",4.475625,White,9.697,32.0,DDR5,6600,2,32,64,4,False
G.Skill Ripjaws V 64 GB,1351.9,"4,3200","4,16",21.1234375,Black,8.75,14.0,DDR4,3200,4,16,64,3,False
Crucial Pro Overclocking 32 GB,89.99,"5,6000","2,16",2.8121875,White,12.0,36.0,DDR5,6000,2,16,32,4,False
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"5,6000","2,16",4.6871875,Silver,9.333,28.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance 64 GB,199.99,"5,6000","2,32",3.12484375,Black / Gray,10.0,30.0,DDR5,6000,2,32,64,4,False
G.Skill Trident Z RGB 32 GB,82.99,"4,3600","2,16",2.5934375,Black,10.0,18.0,DDR4,3600,2,16,32,3,False
Kingston FURY Beast 16 GB,78.61,"4,3200","2,8",4.913125,Black,10.0,16.0,DDR4,3200,2,8,16,3,False
G.Skill Ripjaws V 16 GB,45.99,"4,3200","2,8",2.874375,Black,10.0,16.0,DDR4,3200,2,8,16,3,False
Crucial Classic 16 GB,43.99,"5,5600","2,8",2.749375,Black,16.429,46.0,DDR5,5600,2,8,16,4,False
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.7184375,White,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance RGB 32 GB,94.99,"5,6400","2,16",2.9684375,Black,11.25,36.0,DDR5,6400,2,16,32,4,False
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.4371875,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance LPX 64 GB,154.99,"4,3200","2,32",2.42171875,Black / Yellow,10.0,16.0,DDR4,3200,2,32,64,3,False
Crucial Pro 32 GB,82.99,"5,5600","2,16",2.5934375,Black,16.429,46.0,DDR5,5600,2,16,32,4,False
Kingston FURY Beast RGB 32 GB,134.99,"5,6000","2,16",4.2184375,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
Corsair Dominator Titanium 64 GB,306.23,"5,6600","2,32",4.78484375,Black,9.697,32.0,DDR5,6600,2,32,64,4,False
Crucial Pro 32 GB,78.98,"4,3200","2,16",2.468125,Black,13.75,22.0,DDR4,3200,2,16,32,3,False
Patriot Venom 64 GB,157.99,"5,6000","2,32",2.46859375,Black,10.0,30.0,DDR5,6000,2,32,64,4,False
Crucial Pro 64 GB,139.99,"5,5600","2,32",2.18734375,Black,16.429,46.0,DDR5,5600,2,32,64,4,False
Corsair Vengeance 32 GB,109.99,"5,6000","2,16",3.4371875,Black,12.0,36.0,DDR5,6000,2,16,32,4,False
Corsair Vengeance RGB 192 GB,614.99,"5,5200","4,48",3.2030729166666667,Black,14.615,38.0,DDR5,5200,4,48,192,4,False
G.Skill Ripjaws V 16 GB,49.99,"4,3600","2,8",3.124375,Black,8.889,16.0,DDR4,3600,2,8,16,3,False
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.7184375,Black,10.0,30.0,DDR5,6000,2,16,32,4,False
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",3.186875,White,10.0,18.0,DDR4,3600,2,8,16,3,False
Kingston FURY Beast 32 GB,115.81,"4,3200","2,16",3.6190625,Black,10.0,16.0,DDR4,3200,2,16,32,3,False
Kingston FURY Beast 64 GB,233.99,"5,6000","2,32",3.65609375,Black,10.0,30.0,DDR5,6000,2,32,64,4,False
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8400","2,24",5.416458333333334,Black,9.524,40.0,DDR5,8400,2,24,48,4,False
